dept_code,sub_dept,class,sub_class,description
811,16,162,104,DRESSES
811,16,162,106,SWEATERS
811,16,162,107,SWIM
811,16,162,108,OUTERWR
811,16,162,109,SKRTSKOT
811,16,162,110,PANTS
811,16,162,120,SHORTS
811,16,162,140,SKIRTS
811,16,162,160,SWEATERS
811,16,162,170,SWIM
811,16,162,180,DRESSES
811,16,163,0,"TB KNIT"
811,16,163,2,PANTS
811,16,163,3,SHORTS
811,16,163,5,SWEATERS
811,16,163,7,GRAPHICS
811,16,163,8,ACTVETOP
811,16,163,100,TOPS
811,16,163,101,PANTS
811,16,163,102,"KNT PANT"
811,16,163,103,SHORTS
811,16,163,105,SWEATERS
811,16,163,107,GRAPHICS
811,16,163,108,ACTVETOP
811,16,163,120,"KNT PANT"
811,16,163,130,SHORTS
811,16,163,160,SWEATERS
811,16,163,170,GRAPHICS
811,16,163,180,"ACTV TOP"
811,16,164,0,"TOD ACC"
811,16,164,2,"TB HATS"
811,16,164,4,"TB SHOES"
811,16,164,6,"TB OTHER"
811,16,164,13,"TG SHOES"
811,16,164,15,"TG OTHER"
811,16,164,100,"TB SOCKS"
811,16,164,102,"TB HATS"
811,16,164,103,"IB HATS"
811,16,164,104,"TB SHOES"
811,16,164,106,"TB OTHER"
811,16,164,111,"TG SOCKS"
811,16,164,112,"TG HATS"
811,16,164,113,"TG SHOES"
811,16,164,115,"TG OTHER"
811,16,164,120,"TG HAIR"
811,16,164,130,"TG SHOES"
811,16,164,140,"TB SHOES"
811,16,164,150,"TG OTHER"
811,16,164,160,"TB OTHER"
811,16,165,0,BODYSUIT
811,16,165,2,"KNT BTMS"
811,16,165,10,SOCKS
811,16,165,11,HATS
811,16,165,12,"OTHR ACC"
811,16,165,100,BODYSUIT
811,16,165,101,SWEATERS
811,16,165,102,"KNT BTMS"
811,16,165,103,1-PIECES
811,16,165,104,OVERALLS
811,16,165,105,TOPS
811,16,165,106,DRESSES
811,16,165,107,"WVN BTMS"
811,16,165,108,"DNM BTMS"
811,16,165,110,SOCKS
811,16,165,111,HATS
811,16,165,112,OTHERACC
811,16,165,113,SHOES
811,16,165,114,"ACT LAYER"
811,16,165,120,"KNT BTMS"
811,16,165,160,SWEATERS
811,16,167,0,"BABY BOY"
811,16,167,1,ONEPCS
811,16,167,2,TOPS
811,16,167,3,SWEATERS
811,16,167,4,WVNBTMS
811,16,167,5,KNITBTMS
811,16,167,7,HATS
811,16,167,8,ACTV/LRY
811,16,167,10,SWIM
811,16,167,13,SHOES
811,16,167,15,"DNM BTMS"
811,16,167,100,BODYSUIT
811,16,167,101,BDYSTS
811,16,167,102,TOPS
811,16,167,103,SWEATERS
811,16,167,104,WVNBTMS
811,16,167,105,KNITBTMS
811,16,167,106,OVERALLS
811,16,167,107,HATS
811,16,167,108,"ACT TOPS"
811,16,167,109,OTWR
811,16,167,110,SWIM
811,16,167,111,SOCKS
811,16,167,113,SHOES
811,16,167,115,"DNM BTMS"
811,16,167,120,"DNM BTMS"
811,16,167,130,SHOES
811,16,167,140,"WVN BOT"
811,16,167,170,HATS
811,16,168,0,SLEEPWR
811,16,168,101,LONGJOHN
811,16,168,102,SHRTJOHN
811,16,169,0,BDYSTS
811,16,169,1,ONEPCS
811,16,169,5,KNITBTMS
811,16,169,6,DRESSES
811,16,169,8,HATS
811,16,169,11,SWIM
811,16,169,13,SHOES
811,16,169,14,SOCKS
811,16,169,100,BDYSUITS
811,16,169,101,ONEPCS
811,16,169,102,TOPS
811,16,169,103,SWEATERS
811,16,169,104,"WVN BOT"
811,16,169,105,KNITBTMS
811,16,169,106,DRESSES
811,16,169,108,HATS
811,16,169,109,"ACT TOPS"
811,16,169,110,OTWR
811,16,169,111,SWIM
811,16,169,112,"DNM BTMS"
811,16,169,113,SHOES
811,16,169,114,SOCKS
811,16,169,130,SHOES
811,16,169,140,"WVN BOT"
811,16,169,150,"KNT BOTS"
811,16,169,160,DRESSES
811,16,169,180,DRESSES
811,17,0,0,BOYS
811,17,170,0,"BY DENIM"
811,17,170,100,"BSC JEAN"
811,17,171,0,"BOY WBTM"
811,17,171,1,"FSH PANT"
811,17,171,3,"FSH DNM"
811,17,171,5,"FHN PANT"
811,17,171,7,"FSH WVN"
811,17,171,8,SWIM
811,17,171,100,"BSC PANT"
811,17,171,101,"FSH PANT"
811,17,171,103,"FSH DNM"
811,17,171,104,"BAS PANT"
811,17,171,105,"FHN PANT"
811,17,171,107,"FSH WVN"
811,17,171,108,SWIM
811,17,171,130,"FSH DNM"
811,17,171,150,"FHN PANT"
811,17,171,170,"FSH WVN"
811,17,172,0,"BY WITM"
811,17,172,1,LS
811,17,172,2,SS
811,17,172,101,LS
811,17,172,102,SS
811,17,172,103,VESTS
811,17,172,104,JACKETS
811,17,172,110,LS
811,17,172,140,VESTS
811,17,172,170,JACKETS
811,17,173,0,"BOY KNITS"
811,17,173,1,"LS FS KN"
811,17,173,2,"SS FS KN"
811,17,173,100,"SCREEN T"
811,17,173,101,"LS FS KN"
811,17,173,102,"SS FS KN"
811,17,173,103,TANKS
811,17,173,104,SWEATERS
811,17,173,110,"LS FS KN"
811,17,173,120,"SS FS KN"
811,17,173,160,SWEATERS
811,17,175,0,"BY ACTKN"
811,17,175,1,"ACT TOPS"
811,17,175,5,SHORT
811,17,175,100,BOTTOMS
811,17,175,101,BOTTOMS
811,17,175,105,SHORT
811,17,175,108,"ACT TOPS"
811,17,175,110,"ACT TOPS"
811,17,175,150,SHORT
811,18,0,0,GIRLS
811,18,180,0,GWOVBOT
811,18,180,1,FSHNJEAN
811,18,180,2,"DNM CAPR"
811,18,180,6,DNMSHORT
811,18,180,7,WOVSHORT
811,18,180,100,BASICJN
811,18,180,101,"FAS JEAN"
811,18,180,102,"DNM CAPR"
811,18,180,104,FSNWOVPA
811,18,180,105,"F WVN CP"
811,18,180,106,"DM SHORT"
811,18,180,107,WOVSHORT
811,18,180,108,SHRTALL
811,18,180,110,"FAS JEAN"
811,18,180,120,"DNM CAPR"
811,18,181,0,"G WOV IT"
811,18,181,2,"WOV SKRT"
811,18,181,3,OUTRWEAR
811,18,181,4,WOVENDRE
811,18,181,100,"WOV TOPS"
811,18,181,102,"WOV SKRT"
811,18,181,103,OUTRWEAR
811,18,181,104,WOVENDRS
811,18,181,120,"WOV SKRT"
811,18,181,140,WOVENDRS
811,18,182,0,GACTVKNT
811,18,182,2,TOPS
811,18,182,3,SWIMWR
811,18,182,4,SKIRTS
811,18,182,7,DRESSES
811,18,182,100,BOTTOMS
811,18,182,101,BOTTOMS
811,18,182,102,TOPS
811,18,182,103,SWIMWR
811,18,182,104,SKIRTS
811,18,182,107,DRESSES
811,18,182,120,SHORTS
811,18,182,130,SWIMWEAR
811,18,182,140,SKIRTS
811,18,182,180,DRESSES
811,18,183,0,"GR KNITS"
811,18,183,1,"SS TOPS"
811,18,183,2,SLEEVELE
811,18,183,4,SWEATERS
811,18,183,100,"LS TOP"
811,18,183,101,"SS TOPS"
811,18,183,102,SLEEVELE
811,18,183,104,SWEATERS
811,18,183,110,"SS TOPS"
811,18,183,120,SLEEVELE
811,18,183,160,SWEATERS
811,19,0,0,"KID ACC"
811,19,190,0,"BOYS ACC"
811,19,190,2,HATS
811,19,190,3,BAGS
811,19,190,7,APPAREL
811,19,190,8,SHOES
811,19,190,100,SOCKS
811,19,190,101,BELTS
811,19,190,102,HATS
811,19,190,103,BAGS
811,19,190,104,SUNGLASS
811,19,190,105,"COLD WTH"
811,19,190,106,"TB OTHER"
811,19,190,107,APPAREL
811,19,190,108,SHOES
811,19,190,110,HATS
811,19,190,130,SHOES
811,19,190,180,SHOES
811,19,191,0,UNDERWER
811,19,191,100,UNDERWER
811,19,191,102,BOXERS
811,19,191,103,SLEEPWER
811,19,192,0,"GIRL ACC"
811,19,192,3,BAGS
811,19,192,8,SHOES
811,19,192,100,SOCKS
811,19,192,101,BELTS
811,19,192,102,HATS
811,19,192,103,BAGS
811,19,192,104,SUNGLASS
811,19,192,105,CLDWTHR
811,19,192,107,APPAREL
811,19,192,108,SHOES
811,19,192,109,TIGHTS
811,19,192,130,SHOES
811,19,192,180,SHOES
811,19,193,0,UNDERWR
811,19,193,100,UNDERWR
811,19,193,103,SLEEPWER
812,0,0,0,BR
812,21,0,0,MENS
812,21,211,0,"M PANTS"
812,21,211,1,BASIC
812,21,211,2,"FSH BTTM"
812,21,211,3,"5 PKT/DM"
812,21,211,4,SHORTS
812,21,211,101,BASIC
812,21,211,102,"FSH BTTM"
812,21,211,103,"5 PKT/DM"
812,21,211,104,SHORTS
812,21,212,0,"M OUTERW"
812,21,212,1,JKTS
812,21,212,101,JKTS
812,21,212,102,VESTS
812,21,213,0,"M SUIT"
812,21,213,1,"SUIT BLZ"
812,21,213,100,"ST TROUS"
812,21,213,101,"SUIT BLZ"
812,21,213,102,"SUIT VES"
812,21,214,0,"M WOVENS"
812,21,214,2,"L/S SHT"
812,21,214,5,"S/S SHRT"
812,21,214,7,BSCHABER
812,21,214,102,"L/S SHT"
812,21,214,105,"S/S SHRT"
812,21,214,107,BSCHABER
812,21,215,0,"M KNITS"
812,21,215,2,"BAS TEES"
812,21,215,3,"BAS POLO"
812,21,215,4,"M S/S KT"
812,21,215,5,"M L/S KT"
812,21,215,7,GRAPHICS
812,21,215,102,"BAS TEES"
812,21,215,103,"BAS POLO"
812,21,215,104,"M S/S KT"
812,21,215,105,"M L/S KT"
812,21,215,107,GRAPHICS
812,21,217,0,"M SWEATR"
812,21,217,1,"CTN SWTR"
812,21,217,4,"N/O SWTR"
812,21,217,5,"MER SWTR"
812,21,217,101,"CTN SWTR"
812,21,217,102,"W/W BLED"
812,21,217,104,"N/O SWTR"
812,21,217,105,"MER SWTR"
812,21,217,106,VESTS
812,22,0,0,WOMENS
812,22,221,0,"W ST/SP"
812,22,221,1,SUITTOPS
812,22,221,3,SKIRTS
812,22,221,5,DRESSES
812,22,221,101,SUITTOPS
812,22,221,103,SKIRTS
812,22,221,105,DRESSES
812,22,222,0,"W PANTS"
812,22,222,1,SHORTS
812,22,222,3,5PKT/DEM
812,22,222,4,"FSH PANT"
812,22,222,10,"CRP PANT"
812,22,222,101,SHORTS
812,22,222,103,5PKT/DEM
812,22,222,104,"FSH PANT"
812,22,222,106,"ELEV PNT"
812,22,222,110,"CRP PANT"
812,22,223,0,"W OUTERW"
812,22,223,2,COATS
812,22,223,102,COATS
812,22,224,0,"W WOVENS"
812,22,224,2,"LOG SLVE"
812,22,224,5,"SHT SLVE"
812,22,224,6,SLVELESS
812,22,224,102,"LOG SLVE"
812,22,224,105,"SHT SLVE"
812,22,224,106,SLVELESS
812,22,225,0,"W KNITS"
812,22,225,1,"SHT SLV"
812,22,225,2,"LNG SLV"
812,22,225,3,"TK SLVLS"
812,22,225,6,"ACT BTM"
812,22,225,100,"ACT TOPS"
812,22,225,101,"SHT SLV"
812,22,225,102,"LNG SLV"
